time,state,accel,vel,alt,roll,s1,s2,s3,ax,ay,az,gx,gy,gz,baro,temp,target
9,3,29.32211,83,-0.5774288,256.625,90,90,90,10.419241,12.902225,29.32211,256.625,1.5625,-91.3125,-27.858438,18.55,0
21,3,29.460749,83,-0.5823784,257.3125,90,85,85,-2.734754,-1.0763973,29.460749,257.3125,1.5625,-91.4375,-27.858438,18.55,-41.05313
33,3,29.50801,83,-0.57187843,259.0625,90,85,85,3.0040436,9.377675,29.50801,259.0625,1.5,-91.5625,-27.303785,18.54,-41.058075
45,3,29.675467,83,-0.56103325,260.875,90,85,85,-4.2723074,6.6410403,29.675467,260.875,1.3125,-91.8125,-27.303785,18.54,-41.098816
59,3,29.48292,83,-0.54989815,263.75,90,85,85,-1.9234731,0.79316103,29.48292,263.75,0.875,-91.625,-27.303785,18.54,-41.087982
72,3,29.345646,83,-0.53853416,265.6875,90,85,85,2.6836622,2.6381216,29.345646,265.6875,0.6875,-91.5,-27.303785,18.54,-41.076843
84,3,29.44949,83,-0.52700424,268.1875,90,85,85,-1.1870987,2.9084685,29.44949,268.1875,0.5,-91.5625,-27.303785,18.54,-41.06546
96,3,29.581476,83,-0.47297478,271.1875,90,85,85,-6.1468387,0.9322462,29.581476,271.1875,0.375,-91.6875,-26.126175,18.54,-41.053925
109,3,29.342613,83,-0.40472984,276.75,90,85,85,0.95683485,-3.8930821,29.342613,276.75,0.0625,-91.625,-26.126175,18.54,-40.99991
122,3,29.173487,83,-0.3215332,278.25,90,85,85,10.201703,8.115439,29.173487,278.25,0.125,-91.4375,-26.126175,18.54,-40.93167
150,3,29.331423,83,-0.22431183,280.375,90,85,85,1.7245011,-0.83275574,29.331423,280.375,-0.1875,-91.4375,-26.126175,18.54,-40.84848
164,3,29.35484,83,0.006565094,279.125,90,85,85,0.96341866,-0.7011369,29.35484,279.125,-0.25,-91.5,-24.769854,18.54,-40.75125
179,3,29.382956,83,0.30628395,278.3125,90,85,85,-0.18938455,1.9140713,29.382956,278.3125,-0.25,-91.5625,-24.769854,18.54,-40.520355
191,3,29.305643,83,0.6490631,278.375,90,85,85,2.8749638,-1.5697249,29.305643,278.375,-0.6875,-92.4375,-24.769854,18.54,-40.220642
204,3,29.271202,83,0.9906788,279.5,90,85,85,2.928678,0.10051034,29.271202,279.5,-1,-93.125,-24.769854,18.54,-39.87787
219,3,29.160385,83,1.7142925,281.375,90,85,85,4.3263664,-0.03869968,29.160385,281.375,-1.5,-94.0625,-22.878532,18.54,-39.536255
231,3,29.103277,83,2.436798,287.8125,90,85,85,4.746169,1.4670129,29.103277,287.8125,-3.125,-96.375,-22.878532,18.54,-38.812622
