time,state,accel,vel,alt,roll,s1,s2,s3,ax,ay,az,gx,gy,gz,baro,temp
0,1,0.9584961,0.35363716,18.007204,-0.30517578,90,90,90,-0.041503906,-0.16186523,0.99194336,-0.30517578,0.42724606,-0.122070305,36.01441,27.246838
62,1,0.95996094,84.85089,32.447174,-0.30517578,90,90,90,-0.040039062,-0.15991211,0.9921875,-0.30517578,0.42724606,-0.122070305,35.96788,27.266981
124,1,0.958374,48.151596,35.300766,-0.30517578,90,90,90,-0.041625977,-0.16308594,0.9918213,-0.30517578,0.42724606,-0.122070305,36.073685,27.287123
186,1,0.95996094,10.846621,35.69409,-0.24414061,90,90,90,-0.040039062,-0.15783691,0.9906006,-0.24414061,0.3662109,-0.061035153,35.983814,27.297195
248,1,0.9593506,2.4873414,35.786263,-0.30517578,90,90,90,-0.040649414,-0.16088867,0.991333,-0.30517578,0.42724606,-0.061035153,35.927086,27.297195
310,1,0.9592285,1.5487379,35.859596,-0.30517578,90,90,90,-0.040771484,-0.16113281,0.9909668,-0.30517578,0.42724606,-0.122070305,36.036716,27.317337
372,1,0.9592285,0.9993519,35.88401,-0.30517578,90,90,90,-0.040771484,-0.16088867,0.991333,-0.30517578,0.3662109,-0.122070305,35.963417,27.297195
434,1,0.9589844,0.88868517,35.92739,-0.30517578,90,90,90,-0.041015625,-0.15979004,0.99243164,-0.30517578,0.30517578,-0.061035153,36.108105,27.32741
496,1,0.9581299,0.6943982,35.93967,-0.30517578,90,90,90,-0.041870117,-0.1616211,0.99194336,-0.30517578,0.3662109,-0.122070305,36.000385,27.33748
558,1,0.95874023,0.70929027,35.98653,-0.42724606,90,90,90,-0.041259766,-0.16040039,0.9920654,-0.42724606,0.42724606,-0.122070305,36.261078,27.33748
620,1,0.95983887,0.5813901,35.990276,-0.3662109,90,90,90,-0.040161133,-0.16064453,0.9908447,-0.3662109,0.42724606,-0.061035153,36.01441,27.33748
682,1,0.95861816,0.43112364,35.97517,-0.30517578,90,90,90,-0.041381836,-0.16149902,0.99194336,-0.30517578,0.3662109,0.0,35.86335,27.33748
744,1,0.95825195,0.3921683,35.988102,-0.3662109,90,90,90,-0.041748047,-0.15905762,0.9921875,-0.3662109,0.3662109,-0.061035153,36.09408,27.33748
806,1,0.95825195,0.41661143,36.02222,-0.30517578,90,90,90,-0.041748047,-0.16113281,0.99121094,-0.30517578,0.42724606,-0.061035153,36.328644,27.357624
868,1,0.9597168,0.44388294,36.060345,-0.3662109,90,90,90,-0.040283203,-0.15905762,0.9925537,-0.3662109,0.42724606,-0.122070305,36.416603,27.317337
930,1,0.95910645,0.34498924,36.038853,-0.30517578,90,90,90,-0.040893555,-0.16064453,0.99194336,-0.30517578,0.48828122,-0.18310545,35.832756,27.357624
